titre,contenu,category
"Bienvenue sur KM-News, Votre Source d'Informations et d'Actualités ","Nous sommes enchantés de vous accueillir sur KM-News, un média dédié à vous tenir informés des dernières actualités, des sujets qui façonnent notre société, et des événements qui rythment notre quotidien. Avec un regard unique et objectif, nous vous offrons une plateforme riche en informations, en analyses pertinentes, et en perspectives diversifiées. KM-News, c’est votre compagnon pour rester connecté au monde tout en mettant en lumière les enjeux qui comptent vraiment.
 En vous inscrivant sur notre site, vous devenez bien plus qu’un simple lecteur : vous devenez un acteur clé de notre mission. Votre soutien nous permet de continuer à produire des contenus de qualité, de couvrir des sujets d’intérêt, et de développer de nouveaux projets pour mieux vous servir. Inscrivez-vous dès aujourd’hui pour profiter d’un accès exclusif à nos articles et contribuer à faire grandir KM-News. Ensemble, faisons entendre une voix nouvelle et dynamique dans le paysage médiatique !",Culture
L'ANAM pour une gestion de la crise aux Comores et un renforcement de la sûreté maritime ,"L’Agence nationale des affaires maritimes (ANAM) organise un atelier de formation de quatre jours à l’hôtel Retaj ayant débuté le 9 décembre et visant à renforcer les capacités des forces de sécurité et des acteurs portuaires aux Comores.

 Cet événement, soutenu par des spécialistes internationaux, vise à améliorer la sûreté portuaire et la gestion des risques maritimes dans cette région insulaire. Le directeur général de l’ANAM, Said Salim Dahalane, a souligné l’importance de cette initiative pour les agents de la police nationale, des douanes, de la gendarmerie, de la sécurité civile et de Moroni Terminal. Cette formation intègre des exercices pratiques et des simulations afin de professionnaliser les participants. Selon lui, elle répond à un besoin urgent exprimé auprès de l’Organisation maritime internationale et s’inscrit dans une approche progressive pour pallier le manque de compétences spécialisées.

Saïd Salim Dahalane a également insisté sur le rôle clé des études maritimes dans le développement national, rappelant que 90 % du territoire comorien est constitué de mer. Il a encouragé les jeunes à explorer ce domaine riche en opportunités pour l’avenir du pays.",Société
Un Parcours Inspirant pour les Cœlacanthes,"L'équipe nationale de football des Comores, surnommée les ""Cœlacanthes"", a marqué l'histoire du sport comorien en atteignant la Coupe d'Afrique des Nations (CAN) pour la première fois en 2021. Cette qualification historique a suscité une immense fierté parmi les Comoriens, autant au pays que dans la diaspora. Malgré des ressources limitées, les joueurs ont démontré une résilience et un esprit collectif remarquables, se hissant face à des nations de renom et inscrivant leur nom parmi les grandes histoires du football africain. Grâce à leurs performances, les Cœlacanthes ont attiré l’attention du monde du football, renforçant l’espoir d’un développement accru du sport dans l’archipel. Les efforts pour améliorer les infrastructures et encourager la jeunesse comorienne à s’engager dans le football témoignent de cette dynamique. Avec le soutien des fans et une vision ambitieuse, l'équipe nationale continue d’évoluer, aspirant à de nouveaux sommets et à inspirer toute une génération à rêver plus grand.",Sport
Le Shikomori et le Swahili : Héritages croisés et richesses insoupçonnées,"Le shikomori et le swahili peuvent être comparés à deux branches issues d’un même tronc ancestral : les langues bantu. Le swahili, langue phare de la côte est-africaine, s’est épanoui grâce à son rôle central dans le commerce maritime et l’administration régionale. Il s’est enrichi de nombreuses influences, intégrant des mots issus des mondes arabe, perse, indien et portugais. Parallèlement, le shikomori, plus discret mais tout aussi riche, reflète l’identité culturelle unique des îles Comores. Cette langue conserve ses racines bantu tout en s’adaptant à son environnement insulaire. Elle intègre des éléments empruntés à l’arabe et d’autres spécificités phonétiques, témoignant d’une adaptation locale distincte.
Le shikomori, qui s’écrivait historiquement en caractères arabes, illustre la fusion intime entre l’islam et les traditions comoriennes. Cette langue possède une richesse lexicale impressionnante, grâce à son système agglutinant permettant de créer des mots complexes à partir de préfixes et de suffixes. Les emprunts au swahili y sont nombreux, tout comme ceux à l’arabe. Cette richesse linguistique ne se limite pas à ses emprunts : elle s’exprime aussi dans les multiples significations qu’un même mot peut revêtir. Ce “pouvoir de connotation” illustre comment le shikomori reflète les expériences, les croyances et les valeurs de la communauté comorienne.
Malgré ses qualités, le shikomori reste sous-estimé, souvent cantonné à une transmission orale. Cela entraîne une hésitation à l’utiliser comme langue écrite, freinant son développement. Pourtant, son enseignement et son usage à l’écrit pourraient en faire un puissant outil d’échange, renforçant les liens sociaux et économiques aux Comores.
Le shikomori est bien plus qu’un simple moyen de communication ; il incarne une culture, des traditions et une vision du monde. Sa richesse, à la fois linguistique et culturelle, mérite d’être mise en lumière et valorisée. Enseigner le shikomori et le promouvoir comme langue écrite pourrait transformer cette langue en un pilier du développement social et économique des Comores, tout en préservant l’identité unique de l’archipel dans un monde en constante évolution.",Histoire
"Ademola Lookman, Joueur Africain de l’Année 2024","Le Nigérian Ademola Lookman, attaquant de l’Atalanta Bergame, a été sacré Joueur africain de l’année 2024 lors des prestigieux CAF Awards. Auteur d’une saison remarquable avec 11 buts et 5 passes décisives en 18 matchs, Lookman a brillé tant en club qu’en sélection nationale. Sa performance notable face au Real Madrid en Ligue des Champions et son rôle décisif lors de la qualification du Nigeria pour la CAN 2025 ont marqué les esprits. En remportant la Ligue Europa avec son club et en atteignant la finale de la CAN 2023 avec son pays, Lookman confirme son statut de star montante du football africain.
 Lors de cette cérémonie, la joueuse zambienne Barbra Banda a été distinguée comme Meilleure Joueuse Africaine, tandis que l’Ivoirien Emerse Faé a reçu le prix du Meilleur Entraîneur Africain. En lice pour le Ballon d’or africain, Achraf Hakimi (Maroc), Simon Adingra (Côte d’Ivoire), Serhou Guirassy (Guinée), et Ronwen Williams (Afrique du Sud) ont applaudi la victoire méritée de Lookman. Ces distinctions mettent en lumière l’éclat du football africain sur la scène internationale, célébrant les exploits de ses plus grands talents.",Sport
Bilan de l’IPBES 11 : Des avancées scientifiques pour la biodiversité,"La 11ᵉ session de la Plateforme intergouvernementale scientifique et politique sur la biodiversité et les services écosystémiques (IPBES) s’est tenue du 10 au 15 décembre 2024 à Windhoek, en Namibie. Les travaux se sont organisés autour de deux groupes. Le premier s’est concentré sur l’évaluation des liens entre biodiversité, eau, alimentation et santé (Nexus Assessment), ainsi que sur le cadrage pour une nouvelle évaluation mondiale. Le second a exploré les causes de la perte de biodiversité et les solutions pour atteindre les objectifs de 2050 (Transformative Change Assessment). Ces efforts visent à renforcer l’efficacité de la plateforme et sa capacité à soutenir les décideurs politiques.

Les participants ont approuvé des résumés pour les décideurs sur ces deux évaluations majeures, marquant un jalon significatif pour guider les politiques mondiales en faveur de la biodiversité. Un rapport de cadrage pour une deuxième évaluation mondiale a également vu le jour après des discussions intenses. Malgré l’ampleur des travaux et la fatigue qui en a résulté, les délégués ont exprimé leur satisfaction concernant les résultats obtenus. Ils ont salué les progrès réalisés dans la mise en œuvre du programme de travail jusqu’en 2030. La collaboration avec le Groupe d’experts intergouvernemental sur l’évolution du climat (GIEC) a également été mise en avant, soulignant l’importance d’une approche intégrée entre biodiversité et climat.

Ces discussions montrent une mobilisation internationale croissante pour répondre aux défis environnementaux. L’IPBES 11 a ainsi démontré l’importance du travail collectif pour identifier les causes des pertes de biodiversité et proposer des solutions concrètes, dans une vision tournée vers un futur durable.",Société
Cyclone Chido : Mayotte face à l'abandon de l'État français,"Le passage du cyclone Chido à Mayotte a révélé des failles inquiétantes dans la gestion de la crise par l'État français. Alors que les autorités annoncent un nombre limité de morts, les témoignages locaux dressent un tableau bien plus sombre. De nombreux habitants estiment que le bilan réel est largement supérieur à celui communiqué. Cette dissonance entre les chiffres officiels et les observations sur le terrain alimente la colère et le sentiment d’abandon. L'inefficacité des secours aggrave la situation, avec des interventions tardives et une coordination chaotique qui ont laissé de nombreuses familles sans assistance immédiate. Les critiques envers la gestion des secours ne cessent de croître. Des zones particulièrement touchées restent inaccessibles, et les équipes d'intervention peinent à répondre aux besoins de base. Pour beaucoup, l'État a failli dans sa mission de protéger les citoyens en temps de crise. Ce sentiment d’abandon résonne fortement chez les Mahorais, qui réclament des réponses claires et une action concrète pour gérer les conséquences de cette catastrophe.",Société
Mayotte : les démunis laissés à eux-mêmes après le cyclone Chido,"Des scènes de désolation se multiplient à Mayotte après le passage du cyclone Chido. Privées d’eau potable et de nourriture, des centaines de familles dorment à même le sol, parfois sur les routes. Les abris de fortune se multiplient dans des quartiers comme Kaweni, où la situation sanitaire se dégrade de jour en jour. Ces conditions précaires reflètent un manque criant de préparation et de soutien, laissant les victimes sans ressources essentielles pour survivre et se relever de cette catastrophe. À Kaweni, un autre problème soulève l'indignation des habitants : une odeur insoutenable de cadavres persiste dans certains secteurs, alimentant les inquiétudes sur une possible sous-estimation des pertes humaines. Ce climat de détresse, mêlé à l’absence de réponses rapides et adaptées, souligne l’urgence d’une mobilisation plus forte. La population mahoraise attend des actions concrètes pour retrouver un semblant de dignité et espère que la gravité de la situation ne sera plus ignorée.",Société
Reprise des liaisons maritimes entre les Comores et Madagascar,"Après deux mois de suspension, Madagascar a rouvert ses frontières maritimes pour le transport de marchandises avec l’Union des Comores le 18 décembre. Cette décision, annoncée lors d’un Conseil des ministres, est accompagnée de mesures sanitaires strictes pour prévenir la propagation du choléra. Parmi elles figurent l’interdiction du débarquement des équipages et un confinement obligatoire de 15 jours pour les passagers en provenance des Comores. Ces restrictions, bien que nécessaires selon Madagascar, suscitent des réactions mitigées chez les opérateurs économiques.

 Aux Comores, cette décision est accueillie avec prudence. Si elle constitue un pas vers la normalisation des échanges commerciaux, les opérateurs économiques comoriens, à l’instar de Hamidou Mhoma, appellent à une réouverture totale des frontières, incluant les liaisons aériennes. Les restrictions actuelles sur la circulation des biens et des personnes continuent de freiner les échanges. La mise en œuvre des mesures sanitaires exige une collaboration renforcée entre les deux gouvernements pour éviter que ces restrictions n’affaiblissent davantage les relations commerciales bilatérales.",Politique
"""Marché des îles"" : Une célébration du savoir-faire comorien","Du 23 décembre au 15 janvier, Moroni accueillera le « Marché des îles : mois de saveurs et du savoir local ». Cet événement mettra en lumière plus de 150 marques de produits, allant des cosmétiques à l’agroalimentaire, en passant par la couture et l’artisanat. Organisé par l’Association comorienne des producteurs et transformateurs locaux (Acptl), ce marché vise à promouvoir le savoir-faire unique des artisans et agriculteurs de l’archipel des Comores.
En plus d’être un lieu d’exposition et de dégustation de produits locaux estampillés « Made in Comoros », il sera un espace de découverte des traditions qui façonnent l’identité culturelle comorienne. L’Acptl, qui regroupe plus de trente PME des trois îles, organise cet événement comme un véritable carrefour d’échanges commerciaux et culturels. Selon Abdou Mbae Djoumoi, trésorier général de l’Acptl, le marché mettra en avant le talent des jeunes comoriens et la qualité exceptionnelle des produits locaux.
Avec pour objectif de promouvoir l’innovation, la création de richesse et la consommation locale, ce marché souhaite sensibiliser les visiteurs à l’importance de privilégier les produits nationaux pour soutenir une économie sociale et solidaire. Ce rendez-vous festif et convivial promet de renforcer l’identité économique et culturelle des Comores.",Culture
